,store_id,promised delivery time,ordering time,latitude,longitude,delivery time (s),delivery time (m),distance,distance (m)
22364,2,2018-12-15 07:30:00,2018-12-15 06:30:08,22.49587,113.930667,3592,59.0,0.6934020189364618,693.4020189364618
22365,2,2018-12-15 07:30:00,2018-12-15 06:30:10,22.499789,113.929492,3590,59.0,0.8985753428328013,898.5753428328013
22366,2,2018-12-15 08:00:00,2018-12-15 06:30:11,22.493242,113.930583,5389,89.0,0.7789311092486282,778.9311092486282
22367,2,2018-12-15 08:00:00,2018-12-15 06:30:17,22.493792,113.930732,5383,89.0,0.740030214336932,740.030214336932
22368,2,2018-12-15 07:30:00,2018-12-15 06:30:22,22.499909,113.928555,3578,59.0,0.9918572271630811,991.8572271630811
22369,2,2018-12-15 08:00:00,2018-12-15 06:30:28,22.492878,113.930231,5372,89.0,0.8293990689240573,829.3990689240574
22370,2,2018-12-15 07:30:00,2018-12-15 06:30:28,22.492486,113.938469,3572,59.0,0.4392169258788476,439.2169258788476
22371,2,2018-12-15 07:30:00,2018-12-15 06:30:32,22.499019,113.939713,3568,59.0,0.3825768927837336,382.57689278373357
22372,2,2018-12-15 07:30:00,2018-12-15 06:30:39,22.493438,113.927371,3561,59.0,1.079124620633954,1079.124620633954
22373,2,2018-12-15 07:30:00,2018-12-15 06:35:33,22.49822,113.939454,3267,54.0,0.298868228587344,298.868228587344
22374,2,2018-12-15 08:30:00,2018-12-15 06:45:45,22.505828,113.939769,6255,104.0,1.080692567766072,1080.692567766072
22375,2,2018-12-15 07:45:00,2018-12-15 06:50:02,22.492984,113.941268,3298,54.0,0.5441677077208328,544.1677077208328
22376,2,2018-12-15 07:45:00,2018-12-15 06:50:06,22.499355,113.939588,3294,54.0,0.4049407430619053,404.9407430619053
22377,2,2018-12-15 07:45:00,2018-12-15 06:54:07,22.49342,113.941133,3053,50.0,0.5018421096066097,501.8421096066097
22378,2,2018-12-15 08:00:00,2018-12-15 06:57:48,22.502243,113.937788,3732,62.0,0.6568542374724419,656.8542374724419
22379,2,2018-12-15 08:00:00,2018-12-15 06:59:20,22.491592,113.938074,3640,60.0,0.528630989746182,528.630989746182
22380,2,2018-12-15 07:45:00,2018-12-15 06:59:59,22.505239,113.934574,2701,45.0,1.0289133022772872,1028.9133022772871
22381,2,2018-12-15 08:00:00,2018-12-15 07:02:29,22.488373,113.938037,3451,57.0,0.8828883884250304,882.8883884250304
22382,2,2018-12-15 08:30:00,2018-12-15 07:16:13,22.494986,113.932458,4427,73.0,0.5284580992232827,528.4580992232827
22383,2,2018-12-15 09:00:00,2018-12-15 07:16:55,22.494547,113.929881,6185,103.0,0.7971102160750984,797.1102160750984
22384,2,2018-12-15 08:30:00,2018-12-15 07:17:41,22.498843,113.935019,4339,72.0,0.3705328659481797,370.5328659481797
22385,2,2018-12-15 08:30:00,2018-12-15 07:19:19,22.496562,113.934483,4241,70.0,0.30009060265871,300.09060265871
22386,2,2018-12-15 08:15:00,2018-12-15 07:22:56,22.493501,113.938377,3124,52.0,0.32865316305079334,328.65316305079335
22387,2,2018-12-15 08:30:00,2018-12-15 07:26:28,22.500843,113.939499,3812,63.0,0.5456323624854176,545.6323624854176
22388,2,2018-12-15 08:30:00,2018-12-15 07:28:06,22.495199,113.933879,3714,61.0,0.38192509279084524,381.92509279084527
22389,2,2018-12-15 08:30:00,2018-12-15 07:28:20,22.494187,113.941423,3700,61.0,0.4778492816934708,477.8492816934708
22390,2,2018-12-15 08:30:00,2018-12-15 07:29:01,22.492188,113.932464,3659,60.0,0.6829325179902448,682.9325179902448
22391,2,2018-12-15 08:15:00,2018-12-15 07:29:58,22.494768,113.939312,2702,45.0,0.2623872320643017,262.3872320643017
22392,2,2018-12-15 08:30:00,2018-12-15 07:35:00,22.50197,113.936867,3300,55.0,0.6276259640095713,627.6259640095712
22393,2,2018-12-15 08:30:00,2018-12-15 07:35:01,22.502059,113.936671,3299,54.0,0.6394580774463884,639.4580774463884
22394,2,2018-12-15 08:30:00,2018-12-15 07:38:40,22.494808,113.941585,3080,51.0,0.4633106301960139,463.31063019601385
22395,2,2018-12-15 09:30:00,2018-12-15 07:45:44,22.492683,113.936203,6256,104.0,0.4211226226676058,421.1226226676058
22396,2,2018-12-15 09:00:00,2018-12-15 07:46:25,22.504155,113.943144,4415,73.0,1.0502287292467782,1050.2287292467781
22397,2,2018-12-15 09:00:00,2018-12-15 07:48:50,22.499075,113.938477,4270,71.0,0.32469690520971206,324.69690520971204
22398,2,2018-12-15 08:45:00,2018-12-15 07:49:08,22.503756,113.930244,3352,55.0,1.103569735283882,1103.569735283882
22399,2,2018-12-15 09:00:00,2018-12-15 07:57:13,22.493857,113.928977,3767,62.0,0.9075493377939916,907.5493377939916
22400,2,2018-12-15 09:00:00,2018-12-15 07:57:58,22.498474,113.942267,3722,62.0,0.5556810168466506,555.6810168466507
22401,2,2018-12-15 08:45:00,2018-12-15 07:58:56,22.492008,113.931502,2764,46.0,0.7714668532951324,771.4668532951324
22402,2,2018-12-15 09:45:00,2018-12-15 08:00:42,22.501798,113.936769,6258,104.0,0.6096219052659763,609.6219052659762
22403,2,2018-12-15 09:00:00,2018-12-15 08:02:59,22.495179,113.927889,3421,57.0,0.9856166416860397,985.6166416860397
