,store_id,promised delivery time,ordering time,latitude,longitude,delivery time (s),delivery time (m),distance,distance (m)
7425,1,2018-12-13 07:30:00,2018-12-13 06:30:09,31.196305,121.527662,3591,59.0,1.7014774001861372,1701.4774001861372
7426,1,2018-12-13 07:30:00,2018-12-13 06:30:12,31.166028,121.537919,3588,59.0,1.990540004818872,1990.540004818872
7427,1,2018-12-13 07:30:00,2018-12-13 06:30:16,31.183316,121.537839,3584,59.0,0.08537459421162653,85.37459421162653
7428,1,2018-12-13 07:30:00,2018-12-13 06:30:21,31.182748,121.536433,3579,59.0,0.22390094154668616,223.90094154668617
7429,1,2018-12-13 07:30:00,2018-12-13 06:30:31,31.187171,121.53135,3569,59.0,0.7507204025335694,750.7204025335694
7430,1,2018-12-13 08:00:00,2018-12-13 06:30:32,31.176318,121.554036,5368,89.0,1.724161118065868,1724.161118065868
7431,1,2018-12-13 07:30:00,2018-12-13 06:30:33,31.191147,121.542025,3567,59.0,0.8706672830819493,870.6672830819493
7432,1,2018-12-13 07:30:00,2018-12-13 06:30:37,31.171608,121.540253,3563,59.0,1.3841841388140526,1384.1841388140526
7433,1,2018-12-13 07:30:00,2018-12-13 06:30:39,31.190079,121.538578,3561,59.0,0.6769145937924952,676.9145937924952
7434,1,2018-12-13 07:30:00,2018-12-13 06:31:48,31.181414,121.520279,3492,58.0,1.740741832640251,1740.741832640251
7435,1,2018-12-13 07:30:00,2018-12-13 06:39:15,31.198831,121.538957,3045,50.0,1.6479442287818413,1647.9442287818413
7436,1,2018-12-13 08:00:00,2018-12-13 06:46:17,31.185412,121.546266,4423,73.0,0.7761920255716288,776.1920255716288
7437,1,2018-12-13 08:00:00,2018-12-13 06:46:56,31.181283,121.519077,4384,73.0,1.856158557048948,1856.158557048948
7438,1,2018-12-13 07:45:00,2018-12-13 06:47:07,31.19244,121.525471,3473,57.0,1.540890233447783,1540.890233447783
7439,1,2018-12-13 08:30:00,2018-12-13 06:47:53,31.185399,121.518696,6127,102.0,1.8748453040281565,1874.8453040281565
7440,1,2018-12-13 08:00:00,2018-12-13 06:48:04,31.176898,121.556644,4316,71.0,1.9171486654036543,1917.1486654036541
7441,1,2018-12-13 07:45:00,2018-12-13 06:53:34,31.167093,121.542224,3086,51.0,1.9092271123762523,1909.2271123762523
7442,1,2018-12-13 08:00:00,2018-12-13 06:57:55,31.174873,121.548469,3725,62.0,1.3998861609045765,1399.8861609045766
7443,1,2018-12-13 08:00:00,2018-12-13 07:05:16,31.169482,121.536252,3284,54.0,1.6190253721640713,1619.0253721640713
7444,1,2018-12-13 08:30:00,2018-12-13 07:16:55,31.202615,121.542018,4385,73.0,2.0965200120064815,2096.5200120064815
7445,1,2018-12-13 08:30:00,2018-12-13 07:17:45,31.179593,121.55307,4335,72.0,1.489917414129968,1489.917414129968
7446,1,2018-12-13 08:15:00,2018-12-13 07:22:20,31.178085,121.557706,3160,52.0,1.962264553001346,1962.264553001346
7447,1,2018-12-13 08:30:00,2018-12-13 07:26:05,31.19426,121.534143,3835,63.0,1.2066952092857333,1206.6952092857332
7448,1,2018-12-13 08:15:00,2018-12-13 07:28:55,31.174979,121.522318,2765,46.0,1.8207946768980752,1820.794676898075
7449,1,2018-12-13 08:30:00,2018-12-13 07:38:17,31.17271,121.536949,3103,51.0,1.255943346932219,1255.943346932219
7450,1,2018-12-13 08:45:00,2018-12-13 07:41:42,31.202473,121.540869,3798,63.0,2.06515500306958,2065.15500306958
7451,1,2018-12-13 08:30:00,2018-12-13 07:44:15,31.190338,121.525343,2745,45.0,1.4217548994564704,1421.7548994564704
7452,1,2018-12-13 08:30:00,2018-12-13 07:44:44,31.173451,121.537926,2716,45.0,1.1677420126952192,1167.742012695219
7453,1,2018-12-13 09:00:00,2018-12-13 07:45:09,31.183757,121.526546,4491,74.0,1.1202377266259274,1120.2377266259273
7454,1,2018-12-13 09:00:00,2018-12-13 07:46:59,31.188253,121.530066,4381,73.0,0.9164728875050274,916.4728875050274
7455,1,2018-12-13 09:00:00,2018-12-13 07:47:18,31.17659,121.556371,4362,72.0,1.9078509014201432,1907.8509014201431
7456,1,2018-12-13 08:45:00,2018-12-13 07:52:29,31.17864,121.553292,3151,52.0,1.5472052905472629,1547.2052905472628
7457,1,2018-12-13 09:00:00,2018-12-13 07:53:01,31.191549,121.551486,4019,66.0,1.5117095544363617,1511.7095544363617
7458,1,2018-12-13 09:00:00,2018-12-13 07:55:45,31.181246,121.532166,3855,64.0,0.6581500739302419,658.1500739302419
7459,1,2018-12-13 08:45:00,2018-12-13 07:56:44,31.200695,121.536868,2896,48.0,1.8583920358624406,1858.3920358624407
7460,1,2018-12-13 08:45:00,2018-12-13 07:59:57,31.192919,121.539229,2703,45.0,0.9952428451350902,995.2428451350902
7461,1,2018-12-13 09:15:00,2018-12-13 08:00:38,31.180042,121.549447,4462,74.0,1.1491001670460026,1149.1001670460025
7462,1,2018-12-13 09:00:00,2018-12-13 08:03:28,31.182714,121.524296,3392,56.0,1.341791488866639,1341.791488866639
7463,1,2018-12-13 09:30:00,2018-12-13 08:08:20,31.166249,121.536989,4900,81.0,1.9696553372686163,1969.6553372686162
7464,1,2018-12-13 09:00:00,2018-12-13 08:09:08,31.190985,121.520888,3052,50.0,1.8320766786141522,1832.0766786141523
7465,1,2018-12-13 09:30:00,2018-12-13 08:15:55,31.176122,121.537342,4445,74.0,0.8757995084933409,875.7995084933409
7466,1,2018-12-13 10:00:00,2018-12-13 08:16:37,31.187819,121.530373,6203,103.0,0.8669364941661972,866.9364941661972
7467,1,2018-12-13 09:15:00,2018-12-13 08:19:21,31.196602,121.534625,3339,55.0,1.4426646003167976,1442.6646003167975
7468,1,2018-12-13 10:30:00,2018-12-13 08:19:33,31.195956,121.529317,7827,130.0,1.5798374088612948,1579.8374088612948
7469,1,2018-12-13 09:15:00,2018-12-13 08:20:32,31.182117,121.523013,3268,54.0,1.4712962635905174,1471.2962635905174
7470,1,2018-12-13 10:30:00,2018-12-13 08:20:56,31.196019,121.530594,7744,129.0,1.5234750388365517,1523.4750388365517
7471,1,2018-12-13 09:30:00,2018-12-13 08:21:08,31.197315,121.534049,4132,68.0,1.5330496288306406,1533.0496288306406
7472,1,2018-12-13 10:30:00,2018-12-13 08:21:18,31.183102,121.537234,7722,128.0,0.14029234125108422,140.29234125108422
