,store_id,promised delivery time,ordering time,latitude,longitude,delivery time (s),delivery time (m),distance,distance (m)
14860,2,2019-01-11 08:00:00,2019-01-11 06:30:11,22.498712,113.934649,5389,89.0,0.3865484517274945,386.5484517274945
14861,2,2019-01-11 07:30:00,2019-01-11 06:30:15,22.494034,113.941405,3585,59.0,0.48487898847137795,484.87898847137797
14862,2,2019-01-11 07:30:00,2019-01-11 06:30:15,22.496135,113.933136,3585,59.0,0.43802173013559287,438.02173013559286
14863,2,2019-01-11 08:00:00,2019-01-11 06:42:27,22.498761,113.936968,4653,77.0,0.273414087049279,273.414087049279
14864,2,2019-01-11 08:00:00,2019-01-11 06:45:39,22.49707,113.950698,4461,74.0,1.3720774225308416,1372.0774225308417
14865,2,2019-01-11 08:00:00,2019-01-11 06:48:06,22.496393,113.95112,4314,71.0,1.4130295486764346,1413.0295486764346
14866,2,2019-01-11 08:30:00,2019-01-11 06:49:05,22.495822,113.937192,6055,100.0,0.05903138910934653,59.03138910934653
14867,2,2019-01-11 08:00:00,2019-01-11 06:51:10,22.494686,113.940891,4130,68.0,0.4034731327114831,403.4731327114831
14868,2,2019-01-11 08:00:00,2019-01-11 06:52:01,22.50258,113.937494,4079,67.0,0.6929677087611078,692.9677087611078
14869,2,2019-01-11 08:00:00,2019-01-11 06:56:06,22.49827,113.932452,3834,63.0,0.5517733092647648,551.7733092647647
14870,2,2019-01-11 08:00:00,2019-01-11 06:56:39,22.500467,113.938783,3801,63.0,0.4808204737258468,480.8204737258468
14871,2,2019-01-11 08:00:00,2019-01-11 07:05:01,22.499536,113.928894,3299,54.0,0.9436590274936569,943.6590274936569
14872,2,2019-01-11 08:30:00,2019-01-11 07:13:17,22.499945,113.936117,4603,76.0,0.42187325321791885,421.87325321791883
14873,2,2019-01-11 08:30:00,2019-01-11 07:14:37,22.493599,113.930236,4523,75.0,0.7953614880228094,795.3614880228093
14874,2,2019-01-11 08:00:00,2019-01-11 07:14:49,22.503571,113.938912,2711,45.0,0.8177978108096192,817.7978108096192
14875,2,2019-01-11 08:30:00,2019-01-11 07:15:19,22.500279,113.935832,4481,74.0,0.466417349399228,466.41734939922804
14876,2,2019-01-11 08:30:00,2019-01-11 07:17:25,22.499448,113.932382,4355,72.0,0.6205542171159608,620.5542171159608
14877,2,2019-01-11 08:30:00,2019-01-11 07:27:18,22.497359,113.928814,3762,62.0,0.8896802396155137,889.6802396155136
14878,2,2019-01-11 08:15:00,2019-01-11 07:29:04,22.505469,113.942217,2756,45.0,1.1281220185997554,1128.1220185997554
14879,2,2019-01-11 08:01:18,2019-01-11 07:31:18,22.494533,113.939602,1800,30.0,0.30198133929033705,301.9813392903371
14880,2,2019-01-11 08:45:00,2019-01-11 07:32:08,22.495712,113.937065,4372,72.0,0.07538289088501626,75.38289088501627
