,store_id,promised delivery time,ordering time,latitude,longitude,delivery time (s),delivery time (m),distance,distance (m)
18473,2,2018-12-11 07:30:00,2018-12-11 06:33:02,22.505621,113.933397,3418,56.0,1.1085050959942013,1108.5050959942014
18474,2,2018-12-11 07:30:00,2018-12-11 06:34:15,22.498303,113.939348,3345,55.0,0.2979088838982154,297.9088838982154
18475,2,2018-12-11 07:30:00,2018-12-11 06:34:42,22.505072,113.933724,3318,55.0,1.0396081678446254,1039.6081678446253
18476,2,2018-12-11 07:30:00,2018-12-11 06:35:29,22.49441,113.938838,3271,54.0,0.25911028737417974,259.11028737417973
18477,2,2018-12-11 07:30:00,2018-12-11 06:36:14,22.495219,113.941233,3226,53.0,0.4141055226395051,414.1055226395051
18478,2,2018-12-11 08:00:00,2018-12-11 06:36:19,22.496986,113.950228,5021,83.0,1.3232579368704638,1323.2579368704637
18479,2,2018-12-11 08:00:00,2018-12-11 06:48:07,22.491497,113.940301,4313,71.0,0.612740776953417,612.740776953417
18480,2,2018-12-11 07:45:00,2018-12-11 06:49:38,22.496041,113.94321,3322,55.0,0.5998917511125822,599.8917511125821
18481,2,2018-12-11 07:45:00,2018-12-11 06:53:50,22.498013,113.944062,3070,51.0,0.7117866094714961,711.786609471496
18482,2,2018-12-11 08:00:00,2018-12-11 06:57:06,22.497544,113.92841,3774,62.0,0.9336650664770931,933.6650664770931
18483,2,2018-12-11 08:15:00,2018-12-11 07:12:52,22.4932,113.933012,3728,62.0,0.5677688628853369,567.768862885337
18484,2,2018-12-11 08:00:00,2018-12-11 07:13:14,22.493801,113.935489,2806,46.0,0.34085257799252894,340.85257799252895
18485,2,2018-12-11 08:00:00,2018-12-11 07:14:29,22.49782,113.930724,2731,45.0,0.705468582268814,705.4685822688141
18486,2,2018-12-11 08:15:00,2018-12-11 07:19:23,22.494555,113.936534,3337,55.0,0.21460019125189764,214.60019125189763
18487,2,2018-12-11 08:15:00,2018-12-11 07:21:40,22.499403,113.928451,3200,53.0,0.9808104492752077,980.8104492752077
